created_at,entry_id,field1,field2,field3
2022-05-23 23:59:14 UTC,20,3.401085667,-76.54160733,23/05/2022 23:59
2022-05-23 23:59:29 UTC,21,3.402947833,-76.54098,23/05/2022 23:59
2022-05-23 23:59:44 UTC,22,3.40488,-76.54036683,23/05/2022 23:59
2022-05-24 00:00:00 UTC,23,3.406289333,-76.539941,24/05/2022 00:00
2022-05-24 00:00:15 UTC,24,3.407734333,-76.53943933,24/05/2022 00:00
2022-05-24 00:00:31 UTC,25,3.409588333,-76.5387205,24/05/2022 00:00
2022-05-24 00:00:48 UTC,26,3.410875,-76.538317,24/05/2022 00:00
2022-05-24 00:01:03 UTC,27,3.413010167,-76.53764283,24/05/2022 00:01
2022-05-24 00:01:19 UTC,28,3.414464333,-76.53716117,24/05/2022 00:01
2022-05-24 00:01:34 UTC,29,3.416386167,-76.53650933,24/05/2022 00:01
2022-05-24 00:01:50 UTC,30,3.418141833,-76.53597933,24/05/2022 00:01
2022-05-24 00:02:06 UTC,31,3.419747167,-76.53546383,24/05/2022 00:02
2022-05-24 00:02:21 UTC,32,3.420474333,-76.53518633,24/05/2022 00:02
2022-05-24 00:02:37 UTC,33,3.420484667,-76.53510417,24/05/2022 00:02
2022-05-24 00:02:52 UTC,34,3.420409833,-76.53511533,24/05/2022 00:02
2022-05-24 00:03:07 UTC,35,3.420418333,-76.535094,24/05/2022 00:03
2022-05-24 00:03:22 UTC,36,3.420404167,-76.5351245,24/05/2022 00:03
2022-05-24 00:03:38 UTC,37,3.420370667,-76.53502333,24/05/2022 00:03
2022-05-24 00:03:54 UTC,38,3.4201255,-76.5354425,24/05/2022 00:03
2022-05-24 00:04:09 UTC,39,3.420511833,-76.5352895,24/05/2022 00:04
2022-05-24 00:04:24 UTC,40,3.421056,-76.536522,24/05/2022 00:04
2022-05-24 00:04:39 UTC,41,3.421310833,-76.53751117,24/05/2022 00:04
2022-05-24 00:04:54 UTC,42,3.421438833,-76.53796433,24/05/2022 00:04
2022-05-24 00:05:10 UTC,43,3.421955,-76.538304,24/05/2022 00:05
2022-05-24 00:05:25 UTC,44,3.422410667,-76.53824267,24/05/2022 00:05
2022-05-24 00:05:40 UTC,45,3.422381333,-76.538225,24/05/2022 00:05
2022-05-24 00:05:55 UTC,46,3.42287,-76.53812633,24/05/2022 00:05
2022-05-24 00:06:11 UTC,47,3.424517,-76.5380045,24/05/2022 00:06
2022-05-24 00:06:26 UTC,48,3.425030333,-76.53785767,24/05/2022 00:06
2022-05-24 00:06:41 UTC,49,3.426291667,-76.53758683,24/05/2022 00:06
2022-05-24 00:06:57 UTC,50,3.426805667,-76.5379025,24/05/2022 00:06
2022-05-24 00:07:12 UTC,51,3.426945,-76.53796517,24/05/2022 00:07
2022-05-24 00:08:28 UTC,52,3.432031667,-76.537495,24/05/2022 00:08
2022-05-24 00:08:43 UTC,53,3.433593833,-76.537424,24/05/2022 00:08
